1	-2.36638	
2	-2.11534	
3	-1.87338	
4	-1.62232	
5	-1.41352	
6	-1.19899	
7	-1.02977	
8	-0.835618	
9	-0.691088	
10	-0.533382	
11	-0.406611	
12	-0.315319	
13	-0.188096	
14	-0.115179	
15	-0.0633118	
16	0.00109757	
17	0.0779323	
18	0.0726755	
19	0.079072	
20	0.0575492	
21	0.0519757	
22	-0.0152714	
23	-0.0401202	
24	-0.110033	
25	-0.196963	
26	-0.309055	
27	-0.437471	
28	-0.549362	
29	-0.661571	
30	-0.821838	
31	-1.0371	
32	-1.22622	
33	-1.43506	
34	-1.63389	
35	-1.87864	
36	-2.13192	
37	-2.38213	
38	-2.65401	
39	-2.95818	
